I0208 07:31:00.989950       1 repository.go:539] repositorySync default:nephio-my-core::main: sync started
I0208 07:31:01.007151       1 repository.go:152] crcache: getPackageRevisions(default:nephio-my-core::main) fetching packages from external repository
I0208 07:31:01.007712       1 background.go:183] repository MODIFIED event handling: repo default:nephio-my-core, handling starting
I0208 07:31:01.074870       1 background.go:222] repository MODIFIED event handling: repo default:nephio-my-core, handling completed in 67.157561ms
I0208 07:31:01.104578       1 repository.go:589] repo default:nephio-my-core::main: refresh finished in 0.051178 secs
I0208 07:31:01.104677       1 repository.go:540] repositorySync default:nephio-my-core::main: sync finished in 114.747723ms
W0208 07:31:01.104725       1 sync.go:183] repositorySync default:nephio-my-core::main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:31:01.104741       1 sync.go:230] repositorySync default:nephio-my-core::main: next scheduled time: 2026-02-08 07:34:01.104734973 +0000 UTC m=+91129.223191921
I0208 07:31:01.121871       1 background.go:183] repository MODIFIED event handling: repo default:nephio-my-core, handling starting
I0208 07:31:01.178224       1 background.go:222] repository MODIFIED event handling: repo default:nephio-my-core, handling completed in 56.349336ms
I0208 07:32:56.226096       1 repository.go:539] repositorySync default:mgmt::main: sync started
I0208 07:32:56.245134       1 repository.go:152] crcache: getPackageRevisions(default:mgmt::main) fetching packages from external repository
I0208 07:32:56.245245       1 background.go:183] repository MODIFIED event handling: repo default:mgmt, handling starting
I0208 07:32:56.310877       1 background.go:222] repository MODIFIED event handling: repo default:mgmt, handling completed in 65.632148ms
I0208 07:32:56.333891       1 repository.go:539] repositorySync default:mgmt-staging::main: sync started
I0208 07:32:56.335188       1 repository.go:589] repo default:mgmt::main: refresh finished in 0.044213 secs
I0208 07:32:56.335231       1 repository.go:540] repositorySync default:mgmt::main: sync finished in 109.157385ms
W0208 07:32:56.335251       1 sync.go:183] repositorySync default:mgmt::main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:32:56.335264       1 sync.go:230] repositorySync default:mgmt::main: next scheduled time: 2026-02-08 07:35:56.335259158 +0000 UTC m=+91244.453716129
I0208 07:32:56.351599       1 repository.go:152] crcache: getPackageRevisions(default:mgmt-staging::main) fetching packages from external repository
I0208 07:32:56.352046       1 background.go:183] repository MODIFIED event handling: repo default:mgmt-staging, handling starting
I0208 07:32:56.409802       1 background.go:222] repository MODIFIED event handling: repo default:mgmt-staging, handling completed in 57.753226ms
I0208 07:32:56.409863       1 background.go:183] repository MODIFIED event handling: repo default:mgmt, handling starting
I0208 07:32:56.435336       1 repository.go:589] repo default:mgmt-staging::main: refresh finished in 0.041580 secs
I0208 07:32:56.435373       1 repository.go:540] repositorySync default:mgmt-staging::main: sync finished in 101.494819ms
W0208 07:32:56.435390       1 sync.go:183] repositorySync default:mgmt-staging::main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:32:56.435403       1 sync.go:230] repositorySync default:mgmt-staging::main: next scheduled time: 2026-02-08 07:35:56.4353983 +0000 UTC m=+91244.553855248
I0208 07:32:56.468090       1 background.go:222] repository MODIFIED event handling: repo default:mgmt, handling completed in 58.199642ms
I0208 07:32:56.468135       1 background.go:183] repository MODIFIED event handling: repo default:mgmt-staging, handling starting
I0208 07:32:56.526194       1 background.go:222] repository MODIFIED event handling: repo default:mgmt-staging, handling completed in 58.039954ms
I0208 07:33:33.857845       1 repository.go:539] repositorySync default:catalog-workloads-tools:workloads/tools:main: sync started
I0208 07:33:33.874658       1 background.go:183] repository MODIFIED event handling: repo default:catalog-workloads-tools, handling starting
I0208 07:33:33.874658       1 repository.go:152] crcache: getPackageRevisions(default:catalog-workloads-tools:workloads/tools:main) fetching packages from external repository
I0208 07:33:33.962563       1 background.go:222] repository MODIFIED event handling: repo default:catalog-workloads-tools, handling completed in 87.901497ms
I0208 07:33:34.017996       1 repository.go:539] repositorySync default:oai-core-packages::main: sync started
I0208 07:33:34.032725       1 repository.go:539] repositorySync default:catalog-nephio-core:nephio/core:main: sync started
I0208 07:33:34.032830       1 repository.go:152] crcache: getPackageRevisions(default:oai-core-packages::main) fetching packages from external repository
I0208 07:33:34.033041       1 background.go:183] repository MODIFIED event handling: repo default:oai-core-packages, handling starting
I0208 07:33:34.039217       1 repository.go:539] repositorySync default:catalog-workloads-free5gc:workloads/free5gc:main: sync started
I0208 07:33:34.050822       1 repository.go:589] repo default:catalog-workloads-tools:workloads/tools:main: refresh finished in 0.088415 secs
I0208 07:33:34.050902       1 repository.go:540] repositorySync default:catalog-workloads-tools:workloads/tools:main: sync finished in 193.079872ms
W0208 07:33:34.050921       1 sync.go:183] repositorySync default:catalog-workloads-tools:workloads/tools:main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:33:34.050932       1 sync.go:230] repositorySync default:catalog-workloads-tools:workloads/tools:main: next scheduled time: 2026-02-08 07:36:34.050928089 +0000 UTC m=+91282.169385024
I0208 07:33:34.051204       1 repository.go:152] crcache: getPackageRevisions(default:catalog-nephio-core:nephio/core:main) fetching packages from external repository
I0208 07:33:34.053981       1 repository.go:152] crcache: getPackageRevisions(default:catalog-workloads-free5gc:workloads/free5gc:main) fetching packages from external repository
I0208 07:33:34.072846       1 background.go:222] repository MODIFIED event handling: repo default:oai-core-packages, handling completed in 39.803039ms
I0208 07:33:34.072891       1 background.go:183] repository MODIFIED event handling: repo default:catalog-nephio-core, handling starting
I0208 07:33:34.084981       1 repository.go:539] repositorySync default:catalog-distros-sandbox:distros/sandbox:main: sync started
I0208 07:33:34.090696       1 repository.go:589] repo default:oai-core-packages::main: refresh finished in 0.028053 secs
I0208 07:33:34.090738       1 repository.go:540] repositorySync default:oai-core-packages::main: sync finished in 72.753118ms
W0208 07:33:34.090752       1 sync.go:183] repositorySync default:oai-core-packages::main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:33:34.090760       1 sync.go:230] repositorySync default:oai-core-packages::main: next scheduled time: 2026-02-08 07:36:34.090757073 +0000 UTC m=+91282.209214009
I0208 07:33:34.100943       1 repository.go:152] crcache: getPackageRevisions(default:catalog-distros-sandbox:distros/sandbox:main) fetching packages from external repository
I0208 07:33:34.138341       1 background.go:222] repository MODIFIED event handling: repo default:catalog-nephio-core, handling completed in 65.436228ms
I0208 07:33:34.138388       1 background.go:183] repository MODIFIED event handling: repo default:catalog-workloads-free5gc, handling starting
I0208 07:33:34.235512       1 repository.go:539] repositorySync default:catalog-workloads-oai-ran:workloads/oai:main: sync started
I0208 07:33:34.250060       1 repository.go:152] crcache: getPackageRevisions(default:catalog-workloads-oai-ran:workloads/oai:main) fetching packages from external repository
I0208 07:33:34.309477       1 repository.go:539] repositorySync default:catalog-nephio-optional:nephio/optional:main: sync started
I0208 07:33:34.324375       1 repository.go:152] crcache: getPackageRevisions(default:catalog-nephio-optional:nephio/optional:main) fetching packages from external repository
I0208 07:33:34.328462       1 repository.go:539] repositorySync default:catalog-infra-capi:infra/capi:main: sync started
I0208 07:33:34.345732       1 repository.go:152] crcache: getPackageRevisions(default:catalog-infra-capi:infra/capi:main) fetching packages from external repository
I0208 07:33:34.373609       1 background.go:222] repository MODIFIED event handling: repo default:catalog-workloads-free5gc, handling completed in 235.209472ms
I0208 07:33:34.373655       1 background.go:183] repository MODIFIED event handling: repo default:catalog-workloads-tools, handling starting
I0208 07:33:34.414794       1 background.go:222] repository MODIFIED event handling: repo default:catalog-workloads-tools, handling completed in 41.129847ms
I0208 07:33:34.414842       1 background.go:183] repository MODIFIED event handling: repo default:catalog-distros-sandbox, handling starting
I0208 07:33:34.468079       1 background.go:222] repository MODIFIED event handling: repo default:catalog-distros-sandbox, handling completed in 53.222657ms
I0208 07:33:34.468166       1 background.go:183] repository MODIFIED event handling: repo default:oai-core-packages, handling starting
I0208 07:33:34.508575       1 background.go:222] repository MODIFIED event handling: repo default:oai-core-packages, handling completed in 40.402977ms
I0208 07:33:34.508632       1 background.go:183] repository MODIFIED event handling: repo default:catalog-workloads-oai-ran, handling starting
I0208 07:33:34.619163       1 repository.go:589] repo default:catalog-nephio-core:nephio/core:main: refresh finished in 0.480842 secs
I0208 07:33:34.619337       1 repository.go:540] repositorySync default:catalog-nephio-core:nephio/core:main: sync finished in 586.621156ms
W0208 07:33:34.619360       1 sync.go:183] repositorySync default:catalog-nephio-core:nephio/core:main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:33:34.619377       1 sync.go:230] repositorySync default:catalog-nephio-core:nephio/core:main: next scheduled time: 2026-02-08 07:36:34.619371723 +0000 UTC m=+91282.737828671
I0208 07:33:34.704409       1 background.go:222] repository MODIFIED event handling: repo default:catalog-workloads-oai-ran, handling completed in 195.767388ms
I0208 07:33:34.704449       1 background.go:183] repository MODIFIED event handling: repo default:catalog-nephio-optional, handling starting
I0208 07:33:34.774696       1 background.go:222] repository MODIFIED event handling: repo default:catalog-nephio-optional, handling completed in 70.238516ms
I0208 07:33:34.774740       1 background.go:183] repository MODIFIED event handling: repo default:catalog-infra-capi, handling starting
I0208 07:33:34.786227       1 repository.go:589] repo default:catalog-workloads-free5gc:workloads/free5gc:main: refresh finished in 0.412638 secs
I0208 07:33:34.786442       1 repository.go:540] repositorySync default:catalog-workloads-free5gc:workloads/free5gc:main: sync finished in 747.232209ms
W0208 07:33:34.786465       1 sync.go:183] repositorySync default:catalog-workloads-free5gc:workloads/free5gc:main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:33:34.786478       1 sync.go:230] repositorySync default:catalog-workloads-free5gc:workloads/free5gc:main: next scheduled time: 2026-02-08 07:36:34.786473121 +0000 UTC m=+91282.904930073
I0208 07:33:34.817164       1 background.go:222] repository MODIFIED event handling: repo default:catalog-infra-capi, handling completed in 42.413997ms
I0208 07:33:34.817215       1 background.go:183] repository MODIFIED event handling: repo default:catalog-nephio-core, handling starting
I0208 07:33:34.857203       1 background.go:222] repository MODIFIED event handling: repo default:catalog-nephio-core, handling completed in 39.980539ms
I0208 07:33:34.857252       1 background.go:183] repository MODIFIED event handling: repo default:catalog-workloads-free5gc, handling starting
I0208 07:33:34.869958       1 repository.go:589] repo default:catalog-distros-sandbox:distros/sandbox:main: refresh finished in 0.401897 secs
I0208 07:33:34.870233       1 repository.go:540] repositorySync default:catalog-distros-sandbox:distros/sandbox:main: sync finished in 785.252525ms
W0208 07:33:34.870261       1 sync.go:183] repositorySync default:catalog-distros-sandbox:distros/sandbox:main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:33:34.870277       1 sync.go:230] repositorySync default:catalog-distros-sandbox:distros/sandbox:main: next scheduled time: 2026-02-08 07:36:34.870270947 +0000 UTC m=+91282.988727895
I0208 07:33:34.897274       1 background.go:222] repository MODIFIED event handling: repo default:catalog-workloads-free5gc, handling completed in 40.014162ms
I0208 07:33:34.897319       1 background.go:183] repository MODIFIED event handling: repo default:catalog-distros-sandbox, handling starting
I0208 07:33:34.941896       1 background.go:222] repository MODIFIED event handling: repo default:catalog-distros-sandbox, handling completed in 44.570668ms
I0208 07:33:35.022808       1 repository.go:589] repo default:catalog-workloads-oai-ran:workloads/oai:main: refresh finished in 0.318418 secs
I0208 07:33:35.023047       1 repository.go:540] repositorySync default:catalog-workloads-oai-ran:workloads/oai:main: sync finished in 787.541606ms
W0208 07:33:35.023071       1 sync.go:183] repositorySync default:catalog-workloads-oai-ran:workloads/oai:main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:33:35.023087       1 sync.go:230] repositorySync default:catalog-workloads-oai-ran:workloads/oai:main: next scheduled time: 2026-02-08 07:36:35.023082171 +0000 UTC m=+91283.141539146
I0208 07:33:35.029219       1 repository.go:589] repo default:catalog-nephio-optional:nephio/optional:main: refresh finished in 0.254541 secs
I0208 07:33:35.029490       1 repository.go:540] repositorySync default:catalog-nephio-optional:nephio/optional:main: sync finished in 720.018672ms
W0208 07:33:35.029512       1 sync.go:183] repositorySync default:catalog-nephio-optional:nephio/optional:main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:33:35.029527       1 sync.go:230] repositorySync default:catalog-nephio-optional:nephio/optional:main: next scheduled time: 2026-02-08 07:36:35.029520813 +0000 UTC m=+91283.147977761
I0208 07:33:35.035492       1 repository.go:589] repo default:catalog-infra-capi:infra/capi:main: refresh finished in 0.255048 secs
I0208 07:33:35.035887       1 repository.go:540] repositorySync default:catalog-infra-capi:infra/capi:main: sync finished in 707.431184ms
W0208 07:33:35.035910       1 sync.go:183] repositorySync default:catalog-infra-capi:infra/capi:main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:33:35.035925       1 sync.go:230] repositorySync default:catalog-infra-capi:infra/capi:main: next scheduled time: 2026-02-08 07:36:35.035918208 +0000 UTC m=+91283.154375156
I0208 07:33:35.040517       1 background.go:183] repository MODIFIED event handling: repo default:catalog-workloads-oai-ran, handling starting
I0208 07:33:35.080724       1 background.go:222] repository MODIFIED event handling: repo default:catalog-workloads-oai-ran, handling completed in 40.201318ms
I0208 07:33:35.080774       1 background.go:183] repository MODIFIED event handling: repo default:catalog-nephio-optional, handling starting
I0208 07:33:35.121932       1 background.go:222] repository MODIFIED event handling: repo default:catalog-nephio-optional, handling completed in 41.151825ms
I0208 07:33:35.121973       1 background.go:183] repository MODIFIED event handling: repo default:catalog-infra-capi, handling starting
I0208 07:33:35.166987       1 background.go:222] repository MODIFIED event handling: repo default:catalog-infra-capi, handling completed in 45.008373ms
I0208 07:33:35.806039       1 repository.go:539] repositorySync default:nephio-blueprints::main: sync started
I0208 07:33:35.822598       1 repository.go:152] crcache: getPackageRevisions(default:nephio-blueprints::main) fetching packages from external repository
I0208 07:33:35.822790       1 background.go:183] repository MODIFIED event handling: repo default:nephio-blueprints, handling starting
I0208 07:33:35.880415       1 background.go:222] repository MODIFIED event handling: repo default:nephio-blueprints, handling completed in 57.623444ms
